C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1373.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\T62\598.jpeg,2
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\78.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\888.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\T62\772.jpeg,2
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1335.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\T62\553.jpeg,2
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\39.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1218.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1384.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BTR_60\455.jpeg,1
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1321.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\802.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BTR_60\272.jpeg,1
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\24.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\878.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1097.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1372.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\906.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1138.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\164.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\T62\665.jpeg,2
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BTR_60\424.jpeg,1
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\918.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\231.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\970.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZSU_23_4\1166.jpeg,4
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\934.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\1041.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\ZIL131\809.jpeg,3
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\BMP2(SN_9566)\159.jpeg,0
C:\Users\19124\Desktop\study\pytorch_study\dataset\MSTAR\train\T62\577.jpeg,2
